"GEOID","NAME","Particulate.Matter"
"45035010816","108.16",6.90271670761717
"45035010807","108.07",7.35930192510582
"45035010503","105.03",7.29862201529541
"45035010603","106.03",7.39799660766078
"45035010606","106.06",7.28812846619639
"45035010819","108.19",6.9465888412293
"45035010504","105.04",7.4444286807946
"45035010605","106.05",7.31603116992055
"45035010604","106.04",7.28850546821543
"45035010505","105.05",7.39264324060067
"45035010820","108.20",7.43221717334218
"45035010813","108.13",7.2706797944978
"45035010818","108.18",7.48464613628389
"45035010814","108.14",7.01447518745201
"45035010817","108.17",6.83883647995419
"45035010815","108.15",7.01971908233429
"45035010400","104",7.23731054948407
"45035010300","103",7.07185498970134
"45035010808","108.08",7.36979284064609
"45035010100","101",7.01830214509461
"45035010200","102",7.08042103681465
"45035010809","108.09",7.29023646421214
"45035010700","107",7.75889160994568
"45035010801","108.01",7.23225198843388
"45035010501","105.01",7.31428294439663
