"GEOID","NAME","Particulate.Matter"
"41029002200","22",4.54408158625486
"41029001602","16.02",4.97869028565814
"41029001601","16.01",6.38409183019196
"41029000201","2.01",7.44532393955077
"41029000202","2.02",7.49322741119993
"41029000203","2.03",7.34003275180307
"41029000300","3",7.06043547078766
"41029002600","26",2.38193746516346
"41029000100","1",7.5169069270151
"41029001400","14",3.64001464013881
"41029001302","13.02",4.67977845508231
"41029000601","6.01",5.92351196880599
"41029002400","24",4.56596329631974
"41029000800","8",5.30109753155349
"41029000900","9",4.9988933094929
"41029001100","11",4.40401888252384
"41029000700","7",5.84292763440509
"41029001800","18",5.78778222903355
"41029001700","17",5.40876967972558
"41029001500","15",4.48146921301363
"41029002500","25",3.03550640492479
"41029002100","21",4.81699484770562
"41029001301","13.01",5.00161514179067
"41029002900","29",2.64284649451233
"41029002700","27",2.58806682918605
"41029000404","4.04",6.25785792623418
"41029000501","5.01",7.61005366665821
"41029000502","5.02",7.56020958552516
"41029001002","10.02",6.18419185099336
"41029000403","4.03",6.41421867622182
"41029000405","4.05",7.51878229141685
"41029001001","10.01",7.21601706796023
"41029000406","4.06",7.25295075188954
"41029001900","19",6.62056875645939
"41029002000","20",6.95298873234613
"41029002800","28",3.14466291958185
"41029003001","30.01",4.32768522843478
"41029000602","6.02",5.63600473639263
"41029001200","12",5.71791146818554
"41029002300","23",4.39009160602983
"41029003002","30.02",4.56500810316099
