"GEOID","NAME","Particulate.Matter"
"33001965200","9652",4.65217663262641
"33001965600","9656",3.84074830054252
"33001966100","9661",4.72775561639695
"33001965100","9651",4.50408366765306
"33001965400","9654",4.21829623532642
"33001966000","9660",4.75236858209442
"33001965300","9653",4.4917898647732
"33001966200","9662",4.73476345625338
"33001965598","9655.98",4.61167394626488
"33001965700","9657",4.10667220944524
"33001965800","9658",4.21535871052943
"33001965900","9659",5.25925622956732
"33001966500","9665",3.94580292279635
"33001966402","9664.02",3.81407840225768
"33001966401","9664.01",4.41066824631027
