"GEOID","NAME","Particulate.Matter"
"19155031000","310",7.66389911646557
"19155031100","311",6.84187735772163
"19155031200","312",7.1336468582624
"19155030401","304.01",8.26549646197818
"19155021200","212",8.22811986553193
"19155030402","304.02",8.25338342398145
"19155030502","305.02",8.30000019073486
"19155030602","306.02",8.27485738722307
"19155031601","316.01",6.24846702872749
"19155031602","316.02",6.32738103430403
"19155021701","217.01",5.87859284292552
"19155021501","215.01",5.99816139168153
"19155030200","302",7.53538354970997
"19155021602","216.02",6.03633744891546
"19155031700","317",6.16260326327422
"19155030100","301",6.921793784324
"19155031300","313",7.58312270711812
"19155021702","217.02",5.64144913283833
"19155021603","216.03",6.05778627738524
"19155031800","318",6.18258452327968
"19155021400","214",6.16656485355615
"19155030300","303",8.23377792093261
"19155030501","305.01",8.30000019073486
"19155021502","215.02",5.77310063539451
"19155030700","307",8.10789184233585
"19155030800","308",8.14259661778616
"19155031400","314",6.72152057440656
"19155030601","306.01",8.27464396103586
"19155031900","319",6.41567320076356
"19155030900","309",7.91292777010161
