"GEOID","NAME","Particulate.Matter"
"37109071202","712.02",8.60894486216479
"37109071203","712.03",8.32727929972436
"37109070201","702.01",8.33681988776245
"37109071002","710.02",8.50497116878301
"37109070902","709.02",8.35402356637426
"37109070202","702.02",7.98740215226699
"37109070901","709.01",7.90935537994064
"37109071101","711.01",8.38086797654928
"37109071102","711.02",8.44136473206177
"37109071001","710.01",8.18774435615523
"37109071201","712.01",8.65495085005206
"37109070300","703",8.01664523352554
"37109070500","705",7.57920255013441
"37109070700","707",7.72932381235432
"37109070600","706",7.44517465695065
"37109070800","708",8.03482677821029
"37109070100","701",8.2459214249855
"37109070400","704",7.79238014640076
