"GEOID","NAMELSAD","Particulate.Matter"
"08101000904","Census Tract 9.04",6.55303401498627
"08101000905","Census Tract 9.05",6.62568399318756
"08101001200","Census Tract 12",6.28017860180689
"08101001800","Census Tract 18",6.94739629304479
"08101001900","Census Tract 19",7
"08101002000","Census Tract 20",6.96653293464798
"08101002100","Census Tract 21",6.92857681216248
"08101002200","Census Tract 22",6.21957253422733
"08101002300","Census Tract 23",6.6175712596253
"08101002500","Census Tract 25",6.99999999999997
"08101002600","Census Tract 26",6.96040511242695
"08101002700","Census Tract 27",6.81787016163639
"08101002801","Census Tract 28.01",6.181097796117
"08101001400","Census Tract 14",6.97115909127514
"08101002808","Census Tract 28.08",5.31474782348452
"08101003004","Census Tract 30.04",4.81879989673991
"08101003104","Census Tract 31.04",5.92646696571551
"08101002400","Census Tract 24",6.92147966408869
"08101002807","Census Tract 28.07",5.59104040582602
"08101001100","Census Tract 11",6.36729816017096
"08101002903","Census Tract 29.03",4.87242450842168
"08101002906","Census Tract 29.06",4.89531165727514
"08101002802","Census Tract 28.02",6.15210395571796
"08101000800","Census Tract 8",6.9434792587289
"08101000902","Census Tract 9.02",6.14449147132284
"08101000903","Census Tract 9.03",4.9950136715847
"08101000600","Census Tract 6",6.70991247593959
"08101002911","Census Tract 29.11",4.83988593586804
"08101002913","Census Tract 29.13",5.62249648429044
"08101002918","Census Tract 29.18",4.35918322037558
"08101003105","Census Tract 31.05",5.35232182428683
"08101003106","Census Tract 31.06",4.47390798322881
"08101002917","Census Tract 29.17",4.80652994299839
"08101002914","Census Tract 29.14",5.58311803702981
"08101002916","Census Tract 29.16",6.0120667400493
"08101003600","Census Tract 36",3.61531359669183
"08101002804","Census Tract 28.04",3.888165871609
"08101000200","Census Tract 2",5.95753874777033
"08101003103","Census Tract 31.03",6.17257586439554
"08101002806","Census Tract 28.06",4.40096774872435
"08101003001","Census Tract 30.01",5.20040401139872
"08101002901","Census Tract 29.01",5.27925010129249
"08101001000","Census Tract 10",6.46602742520632
"08101003200","Census Tract 32",3.77126033403638
"08101002915","Census Tract 29.15",5.68100919274003
"08101980100","Census Tract 9801",4.07529262453579
"08101002912","Census Tract 29.12",4.9346244111905
"08101003500","Census Tract 35",6.98667950417827
"08101001500","Census Tract 15",7.0007182515168
"08101001600","Census Tract 16",6.84890863459339
"08101001700","Census Tract 17",6.67851645950594
"08101000500","Census Tract 5",6.96838522588192
"08101000100","Census Tract 1",6.30534803095598
"08101000300","Census Tract 3",6.17470519375815
"08101000400","Census Tract 4",6.49781093814555
