"GEOID","NAME","Particulate.Matter"
"17037002200","22",7.91552364377632
"17037001300","13",7.98306427951857
"17037001800","18",6.62976994417502
"17037002000","20",6.88705036170364
"17037002100","21",6.77137907764413
"17037000800","8",6.78617936311126
"17037001001","10.01",6.45198271175363
"17037001002","10.02",6.92287994480079
"17037001400","14",6.68911106407765
"17037000600","6",7.26184107306247
"17037000700","7",6.84626960514406
"17037000900","9",7.29091043994282
"17037001600","16",6.77174465906755
"17037000500","5",6.70239307945392
"17037001700","17",6.90135079655171
"17037001900","19",6.84424158944311
"17037000100","1",6.75684545348304
"17037001500","15",6.84842571802416
"17037000400","4",6.78330052418282
"17037000300","3",6.67971206002758
"17037000200","2",6.80208156492346
