"GEOID","NAME","Particulate.Matter"
"47149040806","408.06",7.65961351006491
"47149041102","411.02",7.95254310615077
"47149041202","412.02",8.11368003581359
"47149041401","414.01",8.41640475263485
"47149040305","403.05",8.39769622114412
"47149040105","401.05",8.09569713476473
"47149040501","405.01",8.02072191754147
"47149040808","408.08",7.5344593174352
"47149040303","403.03",8.23136085648279
"47149040502","405.02",7.76234070025855
"47149041201","412.01",8.18818936535983
"47149040809","408.09",7.34080712451106
"47149041403","414.03",8.42111402262125
"47149040304","403.04",8.35095727601493
"47149040904","409.04",8.14186058357798
"47149041402","414.02",8.92417097090694
"47149040600","406",7.74341545473078
"47149042000","420",8.68662308229774
"47149041800","418",8.72142301003843
"47149040403","404.03",8.12351952773592
"47149042100","421",8.39630876617807
"47149041000","410",8.10304789325998
"47149040200","402",8.31298637718054
"47149040302","403.02",7.96212012878348
"47149041500","415",8.88174552753639
"47149041600","416",9.23707229185261
"47149041700","417",8.90509576625051
"47149041900","419",9.05143307707607
"47149041302","413.02",8.44307035409961
"47149040805","408.05",7.73617147157331
"47149040903","409.03",7.94986046327339
"47149042200","422",8.24451224074047
"47149040902","409.02",7.96126476982624
"47149040807","408.07",7.82591609105732
"47149040104","401.04",8.45699018874341
"47149040101","401.01",8.09251210916986
"47149040103","401.03",8.17657962414212
"47149040306","403.06",7.98657500347611
"47149042300","423",8.08640300389671
"47149041301","413.01",8.21417869969984
"47149041101","411.01",8.18837072824581
"47149040702","407.02",7.47284372990945
"47149040810","408.10",7.22953779242195
"47149040701","407.01",7.51397373236472
"47149040905","409.05",7.99145561933896
"47149040901","409.01",8.25754378214542
"47149040307","403.07",7.95170115247502
"47149040102","401.02",8.22912076343672
"47149040308","403.08",8.1497876703237
