"GEOID","NAME","Particulate.Matter"
"19193000700","7",6.22445977892501
"19193000300","3",6.58099960896751
"19193003100","31",5.87957237787623
"19193000400","4",6.06902500030614
"19193001300","13",7.79812921470285
"19193003200","32",6.14459901415272
"19193000500","5",5.88990551998846
"19193002102","21.02",6.51162602935934
"19193003500","35",6.07106284912644
"19193000200","2",6.28928551078874
"19193003300","33",6.08563553355681
"19193000100","1",6.50280170031848
"19193000600","6",6.29427061106053
"19193000900","9",7.40084600916396
"19193001000","10",7.68515246959202
"19193001100","11",7.55415778550419
"19193001200","12",7.59128099104972
"19193001400","14",7.40357722082294
"19193001500","15",7.71087506794566
"19193000800","8",7.16006216759089
"19193003600","36",6.41881506312426
"19193001800","18",7.18070823284185
"19193001900","19",7.0946530166082
"19193002000","20",7.47202245379022
"19193002101","21.01",6.64742995721652
"19193940200","9402",6.38200575494903
