"GEOID","NAME","Particulate.Matter"
"39135470102","4701.02",8.24507544970734
"39135455002","4550.02",8.08144090468006
"39135440100","4401",8.44533945054837
"39135400100","4001",7.64575167333473
"39135460100","4601",7.89955438694462
"39135420100","4201",8.08000045988866
"39135450100","4501",7.93145299221321
"39135430100","4301",8.04323246091053
"39135480100","4801",8.65689915935213
"39135410100","4101",7.89805256673594
"39135470101","4701.01",7.94776050560165
"39135455001","4550.01",8.2983923995058
