"GEOID","NAME","Particulate.Matter"
"23019031200","312",4.08270193882225
"23019940000","9400",4.33411879027243
"23019031300","313",4.12843184743026
"23019031100","311",4.53797631622297
"23019028500","285",4.20761051582211
"23019028000","280",4.29682036833895
"23019000300","3",4.99910374866686
"23019027000","270",4.10547690814709
"23019015500","155",3.99215571567689
"23019006200","62",4.26753702433556
"23019000700","7",5.1897824706679
"23019015000","150",3.8799298848814
"23019014000","140",4.0003770856904
"23019012500","125",3.71416547086827
"23019007100","71",4.5468933398018
"23019004200","42",4.72166219725652
"23019026500","265",4.12469661016075
"23019000900","9",4.46353668839838
"23019007200","72",4.35963093667079
"23019030000","300",4.58992505909893
"23019021500","215",4.23743343824578
"23019025500","255",3.70566887592604
"23019010000","100",4.18697445989525
"23019000200","2",5.98508722426571
"23019024500","245",3.85082670656855
"23019031000","310",4.25587632077217
"23019000400","4",5.95539668789179
"23019000500","5",5.96474008574324
"23019000600","6",6.06942354867712
"23019009000","90",3.81690256733294
"23019020500","205",4.2914221288188
"23019002000","20",4.2704574343728
"23019008001","80.01",4.15478658714033
"23019013500","135",3.89013709774322
"23019022500","225",4.16782306597197
"23019029000","290",3.89870677918643
"23019003000","30",4.11635787600568
"23019004100","41",5.95266134696112
"23019004300","43",4.6123451568835
"23019005000","50",4.52139716881045
"23019006100","61",4.4389415736574
"23019006300","63",4.92933912388671
"23019011000","110",4.03552145312293
"23019012000","120",3.70314573155889
"23019013000","130",4.09157322194923
"23019018000","180",4.00570418792363
